id,theme,sous_theme,categorie,question,Choix_A,Choix_B,Choix_C,bonne_reponse,justification
1,1,1.1,C,"1 - Parmi ces propositions, laquelle constitue une mission du pôle commun AMF/ACPR ?",Déterminer le niveau des sanctions applicables aux personnes qui sont sous leur tutelle,Coordonner les contrôles conjoints des pratiques commerciales,Améliorer les échanges d'informations sur les marchés financiers,B,Art L612-47 du CMF
2,1,1.1,C,2 - Quelle est l'autorité en charge d'agréer les sociétés de gestion de portefeuille?,L'Autorité des Marchés Financiers (AMF),L'Autorité de Contrôle Prudentiel et de Résolution (ACPR),La Banque de France,A,"Art L 532-9 du CMF, II"
3,1,1.1,C,3 - La supervision du secteur bancaire et financier en France est assurée entre autres par :,L'Autorité de Contrôle Prudentiel et de Résolution,Le Comité Consultatif du Secteur Financier,Le CECEI (Comité des Établissements de Crédit et des Entreprises d'Investissement),A,Ordonnance du 21 Janvier 2010 : création de l'ACP et 26 Juillet 2013 avec la loi de séparation et de régulation des activités bancaires elle devient l'ACPR
4,1,1.1,C,4 - L'Autorité de Contrôle Prudentiel et de résolution a un pouvoir de sanction :,A l'égard de tout établissement inscrit au registre du commerce.,Uniquement à l'égard des établissements qui tombent sous son contrôle ou sous celui de l'Autorité des marchés financiers.,Uniquement à l'égard des établissements qui tombent sous son contrôle,C,L. 612-1-I CMF
5,1,1.1,C,5 - Dans quel document sont définies les missions de l'AMF,Le code monétaire et financier,Une instruction du Ministère de l'économie et des finances,La constitution,A,Article L621-1 du CMF
6,1,1.1,C,6 - Quel est le rôle principal du CCSF (Comité consultatif du secteur financier) ?,Agir en tant que médiateur en cas de litige entre un établissement de crédit et un client,Edicter des règlements d'application des lois en matière financière,Proposer des mesures d'amélioration des relations entre les établissements de crédit et leurs clients,C,Article L614-1 du code monétaire et financier
7,1,1.1,C,7 - Quel est le rôle du CCSF (Comité Consultatif du Secteur Financier) ?,"C'est une institution consultative qui rédige des avis ou des recommandations dans lesquelles elle propose des mesures sous forme d'avis ou de recommandations législatives, réglementaires ou déontologiques dans le domaine des relations entre les établissements financiers et leurs clientèles respectives.",Le CCSF rédige les lois régissant le secteur financier en France.,C'est une institution qui veille au respect par les banques et les assurances de leurs obligations en matière de pratiques commerciales à l'égard de leurs clientèles.,A,"C. mon. fin., art. L 614-1."
8,1,1.1,C,8 - Qui agrée les associations représentatives des CIF (Conseillers en Investissements Financiers) ?,Le ministère des finances,La Banque de France,L'AMF (Autorité des Marchés Financiers),C,L 541-1 et suivants Code Monétaire et Financier
9,1,1.1,C,9 - Quelle est la composition de l'AMF?,Un Collège et des commissions consultatives,Un Collège et une Commission des Sanctions,"Un Collège, une Commission des sanctions et des commissions consultatives",C,CMF art L.621-2
10,1,1.1,C,10 - L'Autorité de contrôle prudentiel et de résolution (ACPR) doit veiller :,A la protection de l'épargne investie dans les instruments financiers,A l'information des investisseurs et au bon fonctionnement des marchés d'instruments financiers,A la préservation de la stabilité du système financier et à la protection des clients,C,"Art. L612-1, I, al. 1 et L 621-1, al. 1 CMF"
11,1,1.1,C,11 - Dans quel domaine le Comité Consultatif de la Législation et de la Réglementation Financières donne-t-il son avis sur les projets de textes ?,Le domaine bancaire uniquement,Le domaine financier uniquement,"Les domaines bancaire, financier et des assurances",C,Art L614-2 du CMF
12,1,1.1,C,"12 - En France, le pouvoir réglementaire est directement exercé par :",Le Comité Consultatif de la Législation et de la Réglementation (CCLRF),Comité européen des régulateurs de marchés de valeurs mobilières (CESR),Le ministre chargé de l'économie,C,L. 611-1 CMF
13,1,1.1,C,13 - Le Comité Consultatif de la Législation et de la Règlementation Financière (CCLRF) est en charge de :,Superviser et contrôler des établissements de crédit,Mettre en place des ratios prudentiels des banques et des sociétés d'assurance,Donner un avis sur tous les projets de textes normatifs relatifs aux secteurs de la banque et de l'assurance,C,CMF art. L. 614-2 et Code des Assurances L. 411-2
14,1,1.1,C,14 - Le HCSF (Haut Conseil de stabilité financière) a pour mission principale de veiller à :,La stabilité des marchés financiers,La surveillance du système financier dans son ensemble,La stabilité des règles utilisées par les banques dans leurs états financiers,B,Article L631-2-1 du code monétaire et financier
15,1,1.1,C,15 - Quel est le rôle du CCLRF (Comité Consultatif de la Législation et de la Réglementation Financières) ?,Le CCLRF édicte lois dans les domaines de la banque et de la finance.,C'est une institution consultative qui donne un avis sur les projets de textes législatifs et réglementaires (français ou européens) dans le domaine financier,C'est l'organe de tutelle et de contrôle des marchés financiers en France.,B,"C. mon. fin., art. L 614-2."
16,1,1.1,C,16 - Qui agrée les SGP (Sociétés de Gestion de Portefeuille) ?,L'AMF (Autorité des Marchés Financiers),L'ACPR (Autorité de Contrôle Prudentiel et de Résolution),L'ORIAS (Organisme pour le Registre des Intermédiaires en Assurance),A,L 533 et suivants Code Monétaire et Financier
18,1,1.1,C,18 - Quel est le rôle du HCSF (Haut Conseil de Stabilité Financière) ?,Assurer la prestation de services spécifiques aux collectivités publiques,Formuler des avis ou recommandations pour prévenir les risques systémiques,Produire des règles en matière de comptabilité,B,CMF L631-2-1
19,1,1.1,C,19 - Quel organisme décide des dispositifs de résolution applicables aux banques défaillantes ?,La cellule TRACFIN (Traitement du renseignement et action contre les circuits financiers clandestins),L'ACPR (Autorité de Contrôle Prudentiel et de Résolution),L'AMF (Autorité des Marchés Financiers),B,CMF L612-1 à L612-3
20,1,1.1,C,20 - Les fonctions de membre du comité consultatif de la législation et de la réglementation financières (CCLRF) sont-elles rémunérées?,"Oui, la rémunération est votée en assemblée générale par les membres eux-mêmes","Oui, selon un barème fixé par décret en Conseil d'Etat","Non, elles sont exercées gratuitement",C,"Article D 614-3, I CMF"
21,1,1.1,C,21 - Quel est le statut de l'AMF ?,Un département du ministère de l'économie et des finances,Une autorité publique indépendante,Un département de la Banque de France,B,Article L621-1 du Code monétaire et financier
